company/name,title,company/name,location,job_clean
,Junior AI Engineer,,"Kabupaten Tangerang, Banten",about us at pt pro teknologi siber we re at the cutting edge of ai innovation our mission is to drive transformative solutions using the power of artificial intelligence to shape the future of computer vision we believe in fostering a culture of collaboration learning and personal growth our team thrives on challenging projects that make a real world impact and we re excited to expand our ai capabilities with driven passionate individuals like you role overview we are looking for a junior ai engineer to join our dynamic team and contribute to the development of ai models including computer vision applications in this role you ll assist in designing implementing and optimizing ai systems using machine learning and deep learning techniques such as convolutional neural networks cnns and object detection frameworks you ll play a key role in data preprocessing ensuring data quality and integrity while also supporting the testing and validation of computer vision models you will collaborate closely with senior engineers to learn and grow in this rapidly evolving field what you ll do develop ai computer vision models assist in the creation and refinement of machine learning and deep learning models including computer vision applications like image classification object detection and image segmentation using frameworks such as tensorflow keras and pytorch code implementation write clean efficient and scalable code in python java or scala to implement ai algorithms particularly for computer vision tasks data management support the team in managing cleaning and preprocessing image and video data ensuring high quality inputs for training and evaluation of computer vision models testing validation help test and validate ai and computer vision systems ensuring their performance and reliability across a variety of use cases continuous learning stay up to date with the latest advancements in ai and computer vision integrating new techniques into your work to improve model performance and innovation team collaboration work closely with senior engineers and cross functional teams contributing ideas and solutions while also enhancing your own technical skills what we re looking for educational background a degree in computer science engineering data science or a related field or equivalent practical experience technical skills experience or coursework in machine learning deep learning and computer vision with proficiency in python java or scala familiarity with frameworks like tensorflow keras pytorch opencv or similar is a plus data handling solid understanding of data preprocessing techniques especially for image and video data and familiarity with data augmentation and annotation methods for computer vision tasks problem solving mindset a curious and analytical mindset eager to tackle complex computer vision problems and innovate team player strong communication and collaboration skills with the ability to work effectively within a team and learn from others growth oriented passionate about ai and computer vision with a desire to continuously develop your technical skills and knowledge why join us learning development be part of a culture that encourages continuous learning and professional growth with access to resources mentorship and real world experience impactful work contribute to projects that make a meaningful impact in industry or field using ai and computer vision to solve real world challenges collaborative environment work with a passionate team of engineers and ai experts who support each other s growth and innovation innovation at scale engage with some of the most cutting edge ai technologies and tools to create solutions that will shape the future if you re excited about the potential of ai and computer vision and are looking for an opportunity to grow in a supportive forward thinking company we d love to hear from you
Enviromate Technology International,Data Engineer,Enviromate Technology International,"Jakarta Utara, Jakarta Raya",job requirements bachelor s degree in computer science information technology or a related field minimum 3 years of experience as a data engineer specially in ai data centre project proficient in python and sql for data processing experienced in designing building and managing data pipelines using elt etl processes experience with cloud platforms aws gcp azure and apache spark familiar with node js linux kubernetes and various big data tools available to join asap placement kelapa gading jakarta utara
Sekolah Kristen IPEKA,IT SUPPORT STAFF,Sekolah Kristen IPEKA,"Tambun Selatan, Jawa Barat",requirements bachelor s degree in electrical engineering informatics minimum 1 year experience in the relevant industry or position having knowledge of it hardware network lan internet server windows office including installation and troubleshooting well organized creative and innovative good command in english location grand wisata tambun bekasi untuk it support magang kebutuhan di jakarta barat send your cv or register online to our website
Steel Pipe Industry of Indonesia,Software Development Specialist,Steel Pipe Industry of Indonesia,"Surabaya, Jawa Timur",qualification bachelor s degree in informatics information systems or related field minimum 7 years of professional experience in software development especially at pyhton proven experience in developing applications python is a must flutter web based strong knowledge of linux windows server postgresql restful apis docker git gitlab main responsibilities develop and maintain applications across web desktop and mobile platforms troubleshoot debug and resolve software issues ensure code quality maintain documentation and follow best practices preferred skills knowledge of devops practices and ci cd pipelines familiarity with agile methodologies
Ihsan Informatics Solutions,Project Manager,Ihsan Informatics Solutions,"Jakarta Selatan, Jakarta Raya",qualifications candidate must possess at least a bachelor s degree in informatics it computer science and similar major solid understanding in sdlc and banking workflow ready to be placed in our banking industry in jakarta responsibilities coordinate internal resources and third parties vendors for the flawless execution of projects ensure that all projects are delivered on time within scope and within budget develop project scopes and objectives involving all relevant stakeholders and ensuring technical feasibility and ensure resource availability and allocation develop a detailed project plan to track progress use verification techniques to manage changes in project scope schedule and costs measure project performance using appropriate systems tools and techniques report and escalate to management as needed perform risk management to minimize project risks establish and maintain relationships with third parties vendors create and maintain comprehensive project documentation skillset scrum methodology research critical thinking growth mindset
Asetku,Team Lead Credit Reviewer,Asetku,"Yogyakarta, DI Yogyakarta",roles and responsibilities supervise kyc know your customer agents in the customer review process to ensure compliance with both internal and regulatory requirements in support of the company s business operations supervise pv phone verification agents in verifying fund recipients as part of the kyc process ensuring alignment with internal and external regulations lead the credit review team to achieve performance targets while maintaining efficiency and accuracy in kyc and pv verification processes prepare and analyze team performance reports identify areas for improvement and provide actionable recommendations for continuous process enhancement report incidents or irregularities related to kyc and pv processes to risk management division develop and or update credit review procedures ensuring they are approved and aligned with risk management policies and regulator collaborate with the qa team leader to conduct periodic refreshment training for kyc and pv agents to ensure ongoing compliance with internal and regulatory standards collaborate with qa team leader to completing tasks related to cr and qa functions such as completing internal audit findings related to the credit review cr process in line with quality assurance qa preparing kyc and pv performance report materials as well as mitigating risks for the credit review process such as daily weekly and or monthly reports presentation materials etc qualifications min bachelor s degree with major in economic management informatics management information system are preferred minimum of 3 years of experience with strong knowledge in credit review cr process including know your customer kyc and phone verification pv with minimum of 1 year experience as team leader tl are preferred proficiency in spreadsheets for basic analysis and reporting such as excel word ppt and presentation with looker studio understanding business processes in the financial industry especially in p2p lending and or banking industries willing to work offline or online on weekend if needed good communication and influencing abilities proactive self motivated positive mindset detail oriented with a strong sense of responsibility and the ability to work independently and in a team
Hipernet Indodata,IT Operation Head,Hipernet Indodata,"Bandung, Jawa Barat",requirements bachelor s degree s1 preferably in informatics engineering 5 years of experience in operational support management preferably in it services or internet service provider isp industries recommended certifications training mikrotik certified network associate mikrotik certified wireless engineer customer service excellence and any related certifications job descriptions manage escalated delivery requests and resolve service issues for signature and priority customers coordinate regular meetings on sla service performance updates and issue handling review sla and service performance report preparation evaluate network analysis planning and topology design proposals oversee device pre configuration before client delivery analyze network performance and recurring issues recommend permanent solutions monitor project and non project work orders for timely and compliant completion oversee field activities survey installation maintenance dismantle per sow ensure sla targets are achieved based on kpi parameters placement bandung west java
Nusantara Compnet Integrator,Onsite Engineer Security,Nusantara Compnet Integrator,"Jakarta Selatan, Jakarta Raya",job descriptions handle and respond to security incidents and breaches including performing digital forensics when necessary assist in monitoring and implementing preventive measures related to cybersecurity perform troubleshooting for network and cybersecurity issues including connectivity problems slow network performance and security device configurations indentify vulnerabilities across all infrastructure elements including networks servers and applications requirements s1 in informatics engineering telecommunication engineering computer science electrical engineering or related engineering discipline having ceh or sscp certificate is a must having min 3 years of experience in the same field having skill in routing switching flexible having high willingness to learn good communication and coordination skill
Nusantara Compnet Integrator,Onsite Engineer CCNP - Project Based,Nusantara Compnet Integrator,Jakarta Raya,job descriptions perform maintenance and troubleshooting of devices at customers in accordance with service level agreement sla requirements s1 in informatics engineering telecommunication engineering computer science electrical engineering or related engineering discipline having ccnp is a must having a minimum of 4 years of experience in the same field good communication and coordination skills having knowledge in tcp ip internet networking and security
PT Harmoni Dinamik Indonesia,IoT System Integration Engineer,PT Harmoni Dinamik Indonesia,"Jakarta Pusat, Jakarta Raya",responsibilities research and evaluate iot hardware ai cameras sensors scanners scales etc design iot architecture and hardware layout for the self checkout system and other various iot implementation integrate peripheral devices barcode scanners digital scales touchscreens sensors cctv ai cameras etc configure device level firmware settings usb hid serial uart rs485 modbus mqtt conduct device performance validation stress testing thermal testing noise interference testing latency and reliability checks perform root cause analysis for hardware failures communication issues and field deployment incidents produce technical documentation wiring diagrams network and port mapping protocol flow charts and configuration sheets develop sops for installation calibration wiring preventive maintenance and troubleshooting procedures troubleshoot devices onsite or remotely monitor device health uptime and telemetry collaborate with developer teams for device to system integration and data synchronization implement device security best practices and ensure compliance with electrical and hardware standards support vendor component evaluation and assist in hardware selection for production deployments assist production readiness pilot test validation hardware qa checklist and deployment standard bom installation guides test scripts requirements bachelor s degree in electrical engineering electronics informatics or related fields 2 4 years of experience in iot hardware integration embedded systems or device engineering strong knowledge of communication protocols mqtt usb hid serial uart rs485 modbus tcp rtu experience with cctv or ai powered cameras rtsp streaming basic video processing experience with microcontrollers esp32 sbcs jetson nano raspberry pi strong knowledge of power management grounding surge protection emi esd considerations and electrical safety standards familiarity with debugging tools oscilloscope logic analyzer serial console and field diagnostic workflows strong problem solving skills cross team communication and experience handling field deployments
IDX Technology Information Solutions,Project Manager IT,IDX Technology Information Solutions,"Jakarta Selatan, Jakarta Raya",pt idx solusi teknologi informasi idxsti was established in november 2018 as a subsidiary of the indonesia stock exchange idx and other self regulatory organizations sros including kpei idclear and ksei idxsti focuses on providing information technology it services for the indonesian capital market and other financial industries our objective is to deliver the best it solutions to support the growth and development of indonesia s capital market at idxsti we are dedicated to pushing the boundaries of innovation in our industry we are looking for a results driven and integrated team player to join our team key responsibilities manage the full lifecycle of application development projects develop project plans including timeline deliverables resource planning and risk management engage with the development team frontend backend database and ui ux to ensure technical alignment and address issues affecting project progress ensure business requirements are properly translated into technical solutions monitor project progress and prepare regular status reports for management consistently apply agile development methodologies scrum kanban identify and resolve issues that arise during project implementation requirements min bachelor s degree in informatics engineering information systems computer science or a related field minimum 3 years of experience as a project manager in application development projects strong understanding of the software development life cycle sdlc combines technical understanding with analytical thinking to bridge communication between business objectives and development teams experienced in working with backend and frontend developer teams strong communication analytical and problem solving skills experience in implementing agile scrum methodologies able to work collaboratively across teams and demonstrate strong leadership skills experience in end to end development projects for internal or commercial applications is a plus having project management certification pmp capm or equivalent is a plus experience in devops or ci cd environments is a plus familiarity with project management tools such as jira trello or asana is a plus ability to work effectively in a dynamic and fast paced environment is a plus
Nusantara Compnet Integrator,Onsite Engineer - CCTV,Nusantara Compnet Integrator,Jakarta Raya,job descriptions analyze customer needs provide solutions and give recommendations to the customer according to their needs preventive and corrective maintenance troubleshooting and solving customer s problems responsive services requirements minimum d3 informatics engineering telecommunication engineering computer science electrical engineering or related engineering discipline having minimum of 2 years of experience in cctv access door network cabling good communication and coordination skills flexible able to work on documentation
Altius Hospital,Revenue Analyst,Altius Hospital,"Jakarta Barat, Jakarta Raya",job descriptions provide data and analysis to make effective decisions to execute strategies and actions for total revenue management update market research about competitor s hospital price generate regular reports and performance metrics related to revenue identify trends and opportunities for growth through the analysis of complex data sets evaluate organizational methods and provide source to target mapping and information model specification documents for data sets create best practice reports based on data mining analysis and visualization requirements bachelor s degree in information technology informatics engineering information systems computer science statistics or related major from reputable university with min 3 00 gpa min 2 years experience working as a revenue analyst form hospital or hotel background would be a plus strong research and analytical skills proficient in excel and understand basic sql server query
Nusantara Compnet Integrator,Network Engineer Implementation,Nusantara Compnet Integrator,"Jakarta Barat, Jakarta Raya",job descriptions candidate will be part of project implementation team as a pic or team member asessment customer existing condition for project implementation prepare and create mop or lld or design document before implementation installation integration or migration based on design document troubleshooting and reporting for network issues create technical closing document coordination with internal team or customer for project implementation requirements minimum bachelor degree s1 in informatics engineering telecommunication engineering computer science electrical engineering or related engineering discipline minimum 2 years experience as a network engineer or in related field having a valid ccnp enterprise concentration certificate on enarsi or enwlsi or ensdwi or acmp or acsp certification is a must have a good knowledge and conceptual in network routing switching or wireless technologies having knowledge and familiarity with cisco or aruba products eager to learn and improve technical skill or softskill having high responsibility high responsive good communication and good coordination skills able to work under pressure flexible able to communicate in english both oral and written
Eka Mas Republik,TAC System Specialist,Eka Mas Republik,"Tangerang, Banten",becoming a leading internet service provider business myrepublic a member of sinar mas subsidiaries of pt dian swastatika sentosa tbk currently are looking for potential candidate to be employed as tac system specialist for our new branches with the following details requirements min bachelor s degree in electrical engineering informatics computer telecommunications min 1 year experience as vsat engineer knowledge on basic ftth system administrator database administrator networking system programmer job description control and monitor system availability so that it works optimally parabola ird encoder dns nms cloud juniper firewall switch and ott server control problem solving on tv viewing devices and systems based on information from the internal unit cs dispatch thd controlling work orders wo through the change request process can be implemented according to expectations and have minimal impact on customers control tv display system vendors to work properly with interaction and regular reports for performance or troubleshooting based on sla all confidentiality of submitted applicant data is the company s priority only shortlisted candidates will be notified
Eka Mas Republik,CX Portfolio Management Manager,Eka Mas Republik,Jakarta Raya,becoming a leading multimedia business in fiber broadband and interactive tv cable myrepublic a member of sinar mas subsidiaries of pt dian swastatika sentosa tbk currently is looking for potential candidates to be employed as cx portfolio management manager requirements minimum bachelor s degree s1 in informatics engineering information management or any related major 3 years of experience in customer retention loyalty programs or portfolio management preferably in telecom isp or subscription services strong background in crm customer lifecycle marketing or subscription based businesses knowledge of isp products and services ftth broadband plans bundled offerings ott services customer centric mindset with a proactive data driven approach all confidentiality of submitted applicant data is the company s priority only shortlisted candidates will be notified
Pengiklan Anonim,Team Leader Helpdesk,Pengiklan Anonim,Jakarta Raya,responsibilities lead guide and supervise the helpdesk team in handling tickets and service requests related to network coordinate closely with the noc team to ensure effective troubleshooting and escalation processes ensure all incidents are handled in full compliance with sla requirements and continuously monitor ticket status serve as the primary escalation point for technical issues that cannot be resolved by level 1 helpdesk staff analyze incident trends and contribute to improvements in noc operational workflows prepare helpdesk performance reports for noc management including ticket trends recurring issues and recommendations for improvement qualifications bachelor s degree s1 in electrical engineering informatics engineering or a related field strong background and hands on experience in both noc and helpdesk operations is highly preferred technical skills in gpon switches and power systems are strongly prioritized 3 5 years of experience in helpdesk with 2 years in a supervisory or team leader role proficient with helpdesk tools such as servicenow zendesk or jira and experienced in hardware software and basic networking troubleshooting strong leadership communication coordination and analytical problem solving abilities able to work efficiently and systematically in a high demand fast paced noc operational environment
Radian Peninsula Indonesia,Internet of Things (IoT),Radian Peninsula Indonesia,"Jakarta Utara, Jakarta Raya",responsibilities lead the research evaluation and selection of industrial iot hardware including environmental sensors motion orientation modules machine condition sensors vibration pressure load strain electrical measurement devices gps nmea modules and plc integrated components architect and optimize end to end iot system designs covering edge acquisition protocol conversion data pipelines cloud ingestion database integration and application level interoperability integrate configure and validate industrial field devices plcs edge gateways microcontrollers and single board computers in production environments design and implement communication stacks using serial uart rs485 modbus tcp rtu mqtt opc ua nmea sentences and other industry protocols perform advanced diagnostics on hardware firmware and connectivity issues including analyzing signal integrity protocol mismatches environmental interference and long term data reliability conduct system validation activities latency benchmarks throughput tests environmental stress testing emi esd robustness checks and operational reliability assessments develop and maintain high quality technical documentation wiring and installation diagrams plc scada mappings communication flow charts and device integration guidelines define and improve standard operating procedures for installation calibration field maintenance incident response and reliability monitoring monitor device telemetry health metrics uptime and data quality to ensure stable field operations and reliable backend data streams collaborate with software cloud analytics and product teams to ensure seamless onboarding of hardware data into dashboards real time monitoring systems and reporting tools implement and review device level security hardening electrical safety compliance grounding earthing approaches and protective measures for emi esd and surge events lead vendor evaluations pilot testing hardware qualification and component selection for projects moving toward mass deployment support project planning with accurate bill of materials bom installation procedures qa validation test plans and integration readiness assessments provide technical guidance to junior engineers and assist in reviewing their work during deployments and troubleshooting activities requirements bachelor s degree in electrical engineering electronics mechatronics informatics or a closely related field 4 6 years of hands on experience in industrial iot integration embedded systems plc connectivity or field device engineering strong command of industrial communication protocols including mqtt modbus tcp rtu rs485 serial opc ua can modbus gateways and nmea data formats proven experience integrating a wide range of sensors vibration condition monitoring temperature humidity pressure load cells imus and electrical measurement modules proficiency with microcontrollers e g esp32 stm32 and single board computers e g raspberry pi jetson nano for edge processing protocol bridging and data acquisition solid understanding of electrical engineering fundamentals grounding shielding surge protection emi esd prevention power distribution and industrial safety practices hands on experience using diagnostic and validation tools such as oscilloscopes logic analyzers multimeters current clamps and serial consoles experience conducting onsite deployments system commissioning and troubleshooting in industrial or remote environments strong analytical documentation and communication skills with the ability to work independently and mentor junior team members advantageous knowledge of cloud iot platforms aws azure gcp node red python for data acquisition or grafana influxdb for monitoring sensor categories covered environmental temperature humidity gas light motion orientation accelerometer gyroscope imu proximity mechanical condition monitoring vibration pressure load cells strain gauges electrical voltage current power measurement and energy monitoring location navigation gps modules gnss nmea based receivers
Saff & Co.,Data Analyst,Saff & Co.,"Jakarta Barat, Jakarta Raya",job description oversee the collection integration and management of data across multiple sales channels develop and maintain data pipelines to ensure data reliability and analytical readiness perform systematic data cleansing transformation and validation activities conduct comprehensive analyses related to sales performance market behavior and campaign effectiveness implement predictive modeling and advanced statistical methods to support business planning create impactful dashboards charts and reports for strategic decision making provide strategic recommendations derived from data driven insights coordinate with cross departmental teams to support analytical requirements ensure data governance quality control and consistency of analytical processes evaluate and enhance internal processes based on analytical findings qualifications bachelor s degree in informatics engineering computer science mathematics statistics or equivalent minimum 2 years of relevant experience as a data analyst previous experience in the beauty personal care industry is advantageous advanced proficiency in analytical programming tools python sql r familiarity with business intelligence platforms such as power bi or tableau exceptional attention to detail with strong problem solving skills ability to collaborate effectively within a cross functional environment strong presentation and communication abilities
Nusantara Compnet Integrator,3rd Level Engineer (Network),Nusantara Compnet Integrator,"Jakarta Barat, Jakarta Raya",qualifications bachelor s degree in informatics engineering computer science or a related field minimum 5 years of experience in network engineering certified ccnp enterprise or ccie enterprise preferred strong understanding of enterprise network architecture routing switching bgp ospf mpls software define network loadbalancer and wireless technologies proficient in advanced troubleshooting and handling complex network incidents experience working with network devices such as cisco juniper aruba huawei dell or similar ability to prepare detailed technical documentation and network designs excellent communication skills and ability to work both independently and as part of a team good verbal and written communication skills in english responsibilities handle level 3 technical escalations from level 1 and level 2 teams focusing on advanced and critical network issues perform root cause analysis rca for complex incidents and propose corrective and preventive solutions design implement and optimize enterprise network infrastructure configure and troubleshoot advanced network devices including routers switches software defined solutions load balancers and wireless controllers monitor network performance analyze logs and telemetry dataand conduct capacity planning to ensure stability and scalability support network maintenance activities upgrades migrations and architectural changes change requests prepare technical documentation topology diagrams sops and troubleshooting or implementation reports collaborate with vendors principals and cross functional teams to resolve complex issues and support project delivery
Nusantara Compnet Integrator,Project Manager Maintenance,Nusantara Compnet Integrator,"Jakarta Barat, Jakarta Raya",job description coordinate with related parties to prepare maintenance service to customers monitoring maintenance service in accordance with the procedure and service level agreement visit to customers regularly job requirements s1 in informatics engineering computer science computer engineering information systems or related engineering discipline with minimal gpa 3 00 minimum 2 years experience as a leader in it company having good communication and negotiation skills good leadership having problem solving ability
Yayasan Kasih Kibar Kreasi Indonesia,ICT Teacher (Information and Communication Technology),Yayasan Kasih Kibar Kreasi Indonesia,"Jakarta Timur, Jakarta Raya",school profile sds harapan prestasi is a primary school committed to developing intelligent creative and character driven students through active integrative and technology enhanced learning we welcome passionate and professional educators who are eager to contribute to our learning community position ict teacher primary school level elementary grades 1 6 employment type full time key responsibilities teach ict subjects including coding computer skills and digital literacy to students in grades 1 6 prepare lesson plans and teaching modules in accordance with the school curriculum and the kurikulum merdeka guide and supervise students in digital projects and ict competitions collaborate with fellow teachers to integrate technology across the curriculum assess student progress and prepare regular reports on learning outcomes qualifications bachelor s degree s1 in informatics education computer science information systems or a related field teaching experience at the elementary level is an advantage proficient with basic educational software and tools e g ms office scratch robomind canva etc able to deliver lessons using creative interactive and project based approaches strong communication skills and a positive professional demeanour able to work well in a team and adapt to the school s culture benefits supportive positive and innovative working environment regular professional development and training opportunities career advancement opportunities within yayasan kasih kibar kreasi indonesia
Steradian Data Optima,Backend Developer (Senior-Level) Golang PHP,Steradian Data Optima,Jakarta Raya,qualifications experience 1 proficient in web service programming languages using golang and php 2 implementing ci cd pipelines to support development needs 3 capable of building backend systems and implementing clean architecture 4 has at least 5 years of experience working on projects as a backend developer 5 s1 in computer science informatics electrical engineering physics mathematics or related with 3 years experienced in back end developer 6 familiar with go language and go idiomatic proficient in rest api graphql design development testing and deployment 7 good communication skills 8 familiar with php laravel and experienced with the goravel framework 9 proficient in using postgresql for backend development 10 able to implement and maintain ci cd pipelines for backend development 11 able to produce complete and detailed backend technical documentation 12 has at least 5 years of experience working on projects using golang 13 understanding docker and redis is a plus 14 understanding message brokers is a plus kafka rabbitmq tasks responsibilities 1 design develop test and deploy back end services 2 lead technical team including coaching and mentoring 3 produce clean high performance scalable and maintainable services 4 analytical thinking and problem solving capabilities 5 share experiences and knowledge with other team members 6 participate in the entire application lifecycle focusing on coding and debugging 7 write clean code to develop robust and scalable software troubleshoot and debug to optimize performance 8 collaborate with business stakeholders to understand their needs and address technical and design requirements 9 collaborate with front end developers to integrate user facing elements with server side logic 10 build reusable code and libraries for future use understand time and space complexity
Steradian Data Optima,Front End React JS Next JS Developer,Steradian Data Optima,Jakarta Raya,key responsibilities 1 develop front end with interactive user experience following best practices in modern front end development 2 improve ui layout reliability scalability and security 3 quickly comes up with mvp and propose solution for problems 4 produce high quality code 5 collaborate with other team members 6 participate in agile scrum development activities sprint planning daily sprint retrospective and other scrum events 7 create complete development documentation according to client sdlc 8 manage and ensure the system runs properly during go live 9 apply clean code standards maintain existing features and resolve bugs 10 ensure all source code is stored in client repository qualifications 1 s1 in computer science informatics electrical engineering physics mathematics or related with 3 years experienced in frontend developer 2 proficient in front end web development using reactjs nextjs within a micro frontend framework 3 knowledgeable in progressive web apps pwa 4 knowledgeable in indexeddb experience in using html and javascript 5 strong knowledge in html5 and css3 6 familiar with consuming api services securely 7 familiar with git 8 able to create ci cd pipeline 9 documenting front end technical work in a complete and detailed manner 10 has at least 3 years of experience working on projects using reactjs and nextjs 11 understanding message brokers is an added value kafka rabbitmq 12 it would be an added value if you understand bamboo
Eiger Ekowisata Nusantara,Network Technician,Eiger Ekowisata Nusantara,"Kabupaten Bogor, Jawa Barat",job summary we are seeking a network technician to support and maintain our network infrastructure ensuring reliable and high quality connectivity across our operational areas you will play a key role in installing configuring and troubleshooting various network devices including radio bts fiber optic wifi and cctv to ensure stable performance and seamless operations job description 1 install configure and maintain network infrastructure including radio bts fiber optic wifi cctv and related devices 2 perform network monitoring and troubleshooting to ensure optimal performance stability and minimal downtime 3 configure backbone distribution networks including basic routing switching and device setup 4 conduct fieldwork such as cable installation fo splicing testing and on site corrective or preventive maintenance 5 document network architecture and assets and collaborate with internal teams to support network improvements and solutions job requirement 1 minimum d3 s1 in informatics engineering electrical engineering or telecommunications 2 at least 1 year of experience as a network technician or related field 3 strong understanding of tcp ip network devices and infrastructure such as radio bts fo wifi and cctv 4 ability to work at heights and willingness to work in shifting schedules 5 good analytical troubleshooting and documentation skills with placement in megamendung bogor about company eiger adventure land is an ecotourism resort blending natural beauty with engaging activities and thrilling adventures built to international standards it offers immersive sustainable experiences that celebrate harmony between generations and nature at eiger adventure land we believe people are the heartbeat of our mission to inspire generations through meaningful experiences in nature as part of our vision to be a blessing company in sustainable ecotourism development we are building a team that grows together while caring for nature
Nusantara Compnet Integrator,IT Account Manager (Software),Nusantara Compnet Integrator,"Jakarta Barat, Jakarta Raya",achieve sales target create customer list create project list build good relationship with customer follow up customer requirements bachelor s degree s1 or master s degree s2 in information systems management systems or informatics engineering with a gpa at least 2 75 4 00 having a minimum of 5 years of experience as account manager in it software having interest in business and sales having experience in medium to large scale projects software good communication high integrity committed and responsible person able to speak english both spoken and written
Steradian Data Optima,Backend Developer (Mid-Level) Golang PHP,Steradian Data Optima,Jakarta Raya,qualifications experience 1 proficient in web service programming languages using golang and php 2 implementing ci cd pipelines to support development needs 3 capable of building backend systems and implementing clean architecture 4 has at least 3 years of experience working on projects as a backend developer 5 s1 in computer science informatics electrical engineering physics mathematics or related with 3 years experienced in back end developer 6 familiar with go language and go idiomatic proficient in rest api graphql design development testing and deployment 7 good communication skills 8 familiar with php laravel and experienced with the goravel framework 9 proficient in using postgresql for backend development 10 able to implement and maintain ci cd pipelines for backend development 11 able to produce complete and detailed backend technical documentation 12 has at least 3 years of experience working on projects using golang 13 understanding docker and redis is a plus 14 understanding message brokers is a plus kafka rabbitmq 15 understanding loki elasticsearch grafana is a plus 16 understanding bamboo is a plus tasks responsibilities 1 design develop test and deploy back end services 2 produce clean high performance scalable and maintainable services 3 analytical thinking and problem solving capabilities 4 share experiences and knowledge with other team members 5 participate in the entire application lifecycle focusing on coding and debugging 6 write clean code to develop robust and scalable software troubleshoot and debug to optimize performance 7 collaborate with business stakeholders to understand their needs and address technical and design requirements 8 collaborate with front end developers to integrate user facing elements with server side logic 9 build reusable code and libraries for future use understand time and space complexity
University of Bunda Mulia,Artificial Intelligence Lecturer (UBM Kampus Ancol),University of Bunda Mulia,"Jakarta Utara, Jakarta Raya",job descriptions provide the best learning experience to improve faculty competitive advantage be enthusiastic and passionate to carry out research and produce a publication contribute actively to community services contribute to implementation of a high quality curriculum participate in the administration of the department s programs of study and other activities as requested requirements candidate must possess at least doctoral degree master s degree in artificial intelligence computer science informatics from reputable university possess a research track record in the field of artificial intelligence have expertise in the development or implementation of artificial intelligence ai technologies including machine learning deep learning computer vision autonomous systems and other ai related fields candidate must possess at least 3 years of working experience in the related field is required in this position have nidn and maintains jja government academic credential rank from dikti is highly preferable good analytical thinking solid conceptual and excellent teaching skill open position for full time lecturer placement at ubm ancol
Mandom Indonesia,Production Automation & Systems Engineer,Mandom Indonesia,"Cibitung, Jawa Barat",about the job company description as a long established japanese multinational company pt mandom indonesia tbk has been committed to delivering high quality health and beauty products to the indonesian market for over five decades since commencing commercial production in 1971 we have grown into one of the country s leading manufacturers of cosmetics and plastic packaging operating integrated factories located in mm 2100 industrial town cibitung our flagship brands gatsby pixy and pucelle have become household names trusted by millions of consumers beyond the domestic market we continue to expand our global footprint through exports to japan the uae india malaysia thailand and several emerging markets across the middle east africa and eastern europe with a strong japanese work culture emphasizing discipline safety and quality excellence mandom indonesia offers a professional environment where talents can grow within a dynamic fmcg industry landscape role description we are seeking a production automation systems engineer to join our team on a full time on site basis at our manufacturing facility in cibitung this role plays a vital part in supporting our digital transformation initiatives enhancing production systems and ensuring seamless integration between technology and factory operations the selected candidate will be responsible for developing and maintaining digital systems integrating production equipment with internal platforms and collaborating closely with cross functional teams to improve operational efficiency and data accuracy job details develop digital systems to support automation of manufacturing and operational processes build applications to monitor production data machine performance and material movement support the development implementation and optimization of iot solutions including device connectivity data acquisition and real time monitoring to enhance manufacturing efficiency collaborate with production engineering and logistics teams to understand operational needs and deliver technology based solutions prepare documentation perform system testing and ensure continuous system improvement and development qualifications bachelor s degree in informatics engineering or a related field 1 3 years of experience in it system development within a manufacturing environment strong understanding of system integration including erp mes and production process mapping hands on experience in web or application development using php laravel python sql or similar technologies knowledge of iot plc integration is a strong advantage comfortable working in cross functional teams able to communicate directly with non it stakeholders to troubleshoot issues or deliver solutions only selected candidates will be noticed shortly placement mandom indonesia factory kawasan industri mm2100 blok pp jl irian jatiwangi kec cikarang barat kabupaten bekasi jawa barat 17520 notes seluruh proses rekrutmen akan dilakukan secara langsung offline di lokasi pabrik kami di cibitung proses ini kami lakukan untuk memastikan kesesuaian lingkungan kerja serta kecocokan perilaku dengan konteks operasional dari posisi yang berbasis di pabrik
Nusantara Compnet Integrator,IT Account Manager Cloud (AWS),Nusantara Compnet Integrator,Jakarta Raya,responsibilites identify and pursue new business opportunities in the aws cloud market to achieve sales target conduct market analysis to uncover emerging trends customer needs and competitive advantages in the cloud space leverage a deep understanding of aws cloud products services and workflows to identify and propose value driven solutions build and maintain strong long term relationships with clients partners and other key stakeholders act as a trusted advisor bridging the gap between technical capabilities and business requirements collaborate with the sales team to develop competitive and accurate pricing for aws solutions deliver compelling presentations that clearly articulate aws solutions and their business value negotiate effectively with clients and partners to secure mutually beneficial agreements present actionable insights and recommendations to drive decision making and business planning requirements bachelor s degree s1 or magister degree s2 in information system management system informatics engineering having at least 5 years of experience in business development in the it industry especially in cloud business having interest in business and sales proven leadership skill good communication in english high integrity committed and responsible person
