Rumpun Ilmu,Nama Program Studi (Indonesia),Nama Program Studi (Inggris)
Kehutanan,Manajemen atau Pengelolaan Hutan,Forestry Management
Kehutanan,Rekayasa Kehutanan,Forestry Engineering
Kehutanan,Silvikultur,Silviculture
Kehutanan,Silvikultur Tropika,Tropical Silviculture
Kehutanan,Teknologi Hasil Hutan,Forestry Product Technology
Kesehatan (Kedokteran),Ilmu atau Sains Biomedis,Biomedical Science
Kesehatan (Kedokteran),Ilmu atau Sains Kedokteran,Medical Science
Kesehatan (Kedokteran),Imunologi,Immunology
Kesehatan (Kedokteran),Kedokteran Forensik dan Medikolegal,Forensic Medicine and Medicolegal
Kesehatan (Kedokteran),Kedokteran Keluarga,Family Medicine
Kesehatan (Kedokteran),Kedokteran Kerja,Occupational Medicine
Kesehatan (Kedokteran),Kedokteran Klinis,Clinical Medicine
Kesehatan (Kedokteran),Kedokteran Olahraga,Sports Medicine
Kesehatan (Kedokteran),Kedokteran Tropis,Tropical Medicine
Kesehatan (Kedokteran),Vaksinologi dan Imunoterapetika,Vaccinology and Immunotherapeutics
Kesehatan (Kedokteran),Kedokteran,Medicine
Kesehatan (Kedokteran Gigi),Ilmu atau Sains Kedokteran Gigi,Dental Science
Kesehatan (Kedokteran Gigi),Kedokteran Gigi,Dental Medicine
Kesehatan (Kedokteran Gigi),Kedokteran Gigi Klinis,Clinical Dentistry
Kesehatan (Kedokteran Gigi),Kedokteran Gigi Komunitas,Community Dentistry
Kesehatan (Veteriner),Entomologi Kesehatan atau Entomologi Veteriner,Medical Entomology or Veterinary Entomology
Kesehatan (Veteriner),Ilmu atau Sains Veteriner,Veterinary Science
Kesehatan (Veteriner),Ilmu atau Sains Biomedis Veteriner,Veterinary Biomedical Science
Kesehatan (Veteriner),Kedokteran Hewan,Veterinary Medicine
Kesehatan (Veteriner),Kesehatan Masyarakat Veteriner,Veterinary Public Health
Kesehatan (Farmasi),Farmasi,Pharmacy
Kesehatan (Farmasi),Farmasi Klinis,Clinical Pharmacy
Kesehatan (Farmasi),Farmasi Klinis dan Komunitas,Clinical and Community Pharmacy
Kesehatan (Farmasi),Farmasi Industri,Industrial Pharmacy
Kesehatan (Farmasi),Ilmu Farmasi,Pharmaceutical Science
Kesehatan (Farmasi),Tanaman Obat,Herbal Medicine
Kesehatan (Gizi),Gizi,Nutrition
Kesehatan (Gizi),Gizi Masyarakat,Public Nutrition
Kesehatan (Gizi),Ilmu atau Sains Gizi,Nutrition Science
Kesehatan (Masyarakat),Epidemiologi,Epidemiology
Kesehatan (Masyarakat),Kesehatan Lingkungan,Environmental Health
Kesehatan (Masyarakat),Kesehatan Masyarakat,Public Health
Kesehatan (Kebidanan),Kebidanan,Midwifery
Kesehatan (Keperawatan),Keperawatan,Nursing
Kesehatan (Umum),Administrasi Kesehatan,Health Administration
Kesehatan (Umum),Administrasi Rumah Sakit,Hospital Administration
Kesehatan (Umum),Fisioterapi,Physiotherapy
Kesehatan (Umum),Kesehatan Reproduksi,Reproductive Health
Kesehatan (Umum),Keselamatan dan Kesehatan Kerja,Occupational Health and Safety
Kesehatan (Umum),Manajemen Informasi Kesehatan,Health information Management
Kesehatan (Umum),Optometri,Optometry
Kesehatan (Umum),Penuaan Kulit dan Estetika,Skin Aging and Aesthetic Medicine
Kesehatan (Umum),Promosi Kesehatan,Health Promotion
Kesehatan (Umum),Terapi Okupasi,Occupational Therapy
Kesehatan (Umum),Sains Laboratorium Klinis atau Medis,Clinical or Medical Laboratory Science
Sains Informasi,Ilmu atau Sains Informasi,Information Science
Sains Informasi,Perpustakaan dan Sains Informasi,Library and Information Science
Hukum,Hukum,Law
Hukum,Hukum Agraria dan Pertanahan,Agrarian and Land Law
Hukum,Hukum Bisnis,Business Law
Hukum,Hukum Hak Kekayaan Intelektual,Intellectual Property Rights Law
Hukum,Hukum Internasional,International Law
Hukum,Hukum Kesehatan,Health Law
Hukum,Hukum Litigasi,Litigation Law
Hukum,Hukum Publik,Public Law
Hukum,Hukum Syariah,Syariah Law
Hukum,Hukum dan Pembangunan,Law and Development
Hukum,Kenotariatan,Notary Law
Militer,Ilmu atau Sains Militer,Military Science
Militer,Teknik atau Rekayasa Militer,Military Engineering
Sosial (Publik),Administrasi Publik,Public Administration
Sosial (Publik),Kebijakan Pendidikan,Education Policy
Sosial (Publik),Kebijakan Publik,Public Policy
Sosial (Publik),Kesejahteraan Sosial,Social Welfare
Keolahragaan,Ilmu atau Sains Keolahragaan,Sports Science
Keolahragaan,Fisiologi Keolahragaan,Exercise Physiology
Keolahragaan,Manajemen Olahraga,Sports Management
Keolahragaan,Rekayasa Keolahragaan,Sports Engineering
Pariwisata,Pariwisata,Tourism
Transportasi,Transportasi,Transportation
Multidisiplin,Bioetika,Bioethics
Multidisiplin,Bioinformatika,Bioinformatics
Multidisiplin,Biokewirausahaan,Bioentrepreneurship
Multidisiplin,Biomanajemen,Biomanagement
Multidisiplin,Bioteknologi,Biotechnology
Multidisiplin,Bioteknologi Industri,Industrial Biotechnology
Multidisiplin,Bioteknologi Kelautan,Marine Biotechnology
Multidisiplin,Bioteknologi Kesehatan,Medical Biotechnology
Multidisiplin,Bioteknologi Pertanian,Agricultural Biotechnology
Multidisiplin,Geografi,Geography
Multidisiplin,Geografi Lingkungan,Environmental Geography
Multidisiplin,Penginderaan Jauh,Remote Sensing
Multidisiplin,Sains Informasi Geografi,Geographic Information Science
Multidisiplin,Ilmu atau Sains Forensik,Forensic Science
Multidisiplin,Ilmu atau Sains Komputasi,Computational Science
Multidisiplin,Informatika Medis atau Informatika Kesehatan,Medical Informatics or Health Informatics
Multidisiplin,Inovasi Sistem dan Teknologi,System and Technology Innovation
Multidisiplin,Kimia-informatika,Chemo-informatics
Multidisiplin,Konseling dan Psikoterapi,Counseling and Psychoteraphy
Multidisiplin,Konservasi Biodiversitas Tropika,Tropical Biodiversity Conservation
Multidisiplin,Konservasi Biologi,Biology Conservation
Multidisiplin,Konservasi Hewan Liar,Wild life Conservation
Multidisiplin,Konservasi Hewan Liar dan Hutan,Wild life and Forestry Conservation
Multidisiplin,Konservasi Hutan,Forestry Conservation
Multidisiplin,Konservasi Sumber Daya Alam,Natural Resources Conservation
Multidisiplin,Manajemen Bencana,Disaster Management
Multidisiplin,Mitigasi Bencana,Disaster Mitigation
Multidisiplin,Mitigasi Bencana Kerusakan Lahan,Land Disaster Mitigation
Multidisiplin,Pendidikan Digital,Digital Education
Multidisiplin,Perumahan dan Pemukiman,Human Settlement
Multidisiplin,Psikologi Pendidikan,Educational Psychology
Multidisiplin,Teknik atau Rekayasa Pangan,Food Engineering
Multidisiplin,Rekayasa Sistem,System Engineering
Multidisiplin,Rekayasa Tata Kelola Air Terpadu,Integrated Water Management Engineering
Multidisiplin,Ekonomi Perkopian,Coffee Economics
Multidisiplin,Sains Data,Data Science
Multidisiplin,Sains Data Spasial,Spatial Data Science
Multidisiplin,Sains Perkopian,Coffee Science
Multidisiplin,Studi Humanitas,Humanistic Studies (Liberal Arts)
Profesi,Pendidikan Profesi Pengkultur Jaringan Tanaman,Plant Tissue Culture Profession Education
Profesi,Pendidikan Profesi Pemulia Tanaman,Plant Breeders Profession Education
Profesi,Pendidikan Profesi Penyuluh Pertanian,Agricultural Extension Profession Education
Profesi,Pendidikan Profesi Arsitek,Architect Profession Education
Profesi,Pendidikan Profesi Akuntan,Accountant Profession Education
Profesi,Pendidikan Profesi Konselor,Counselor Profession Education
Profesi,Pendidikan Profesi Guru (PPG),Teacher Profession Education (TPE)
Profesi,Pendidikan Profesi Insinyur,Engineer Profession Education
Profesi,Pendidikan Profesi Apoteker,Pharmacist Profession Education
Profesi,Pendidikan Profesi Bidan,Midwife Profession Education
Profesi,Pendidikan Profesi Dietisien,Dietician Profession Education
Profesi,Pendidikan Profesi Dokter,Medical Doctor Profession Education
Profesi,Pendidikan Profesi Dokter Gigi,Dentist Profession Education
Profesi,Pendidikan Profesi Dokter Hewan atau Veterinarian,Veterinarian Profession Education
Profesi,Pendidikan Profesi Fisioterapis,Physiotherapist Profession Education
Profesi,Pendidikan Profesi Ners,Nurse Profession Education
Profesi,Pendidikan Profesi Pengobat Tradisional Indonesia,Traditional Indonesian Medicine Profession Education
Profesi,Pendidikan Profesi Pengobat Tradisional Tiongkok,Traditional Chinese Medicine Profession Education
Profesi,Pendidikan Profesi Advokat,Advocate Profession Education
Profesi,Pendidikan Profesi Pekerja Sosial,Social Worker Profession Education
Spesialis,Psikologi,Psychology
Spesialis,Akupunktur Medik,Medical Acupuncture
Spesialis,Andrologi,Andrology
Spesialis,Anestesiologi dan Terapi Intensif,Anesthesiology and Intensive Therapy
Spesialis,Bedah,Surgery
Spesialis,Bedah Anak,Pediatric Surgery
Spesialis,Bedah Mulut dan Maksilofasial,Oral and Maxillofacial Surgery
Spesialis,Bedah Plastik Rekonstruksi dan Estetik,Plastic Reconstructive and Aesthetic Surgery
Spesialis,Bedah Saraf,Neurosurgery
Spesialis,Bedah Toraks Kardiak dan Vaskular,"Thoracic, Cardiac, and Vascular Surgery"
Spesialis,Dermatologi Venereologi dan Estetika,Dermatology Venereology and Aesthetic
Spesialis,Farmakologi Klinik,Clinical Pharmacology
Spesialis,Gizi Klinik,Clinical Nutrition
Spesialis,Jantung dan Pembuluh Darah,Cardiology and Vascular Medicine
Spesialis,Kedokteran Fisik dan Rehabilitasi,Physical Medicine and Rehabilitation
Spesialis,Kedokteran Forensik dan Studi Medikolegal,Forensic Medicine and Medicolegal Studies
Spesialis,Kedokteran Gigi Anak,Pediatric Dentistry
Spesialis,Kedokteran Keluarga Layanan Primer,Primary Care Family Medicine
Spesialis,Kedokteran Nuklir Teranostik Molekuler,Nuclear Medicine and Theragnostic Molecular
Spesialis,Kedokteran Okupasi,Occupational Medicine
Spesialis,Kedokteran Olahraga,Sports Medicine
Spesialis,Kedokteran Penerbangan,Aerospace Medicine
Spesialis,Kedokteran Darurat,Emergency Medicine
Spesialis,Kedokteran Kelautan,Maritime Medicine
Spesialis,Keperawatan Anak,Pediatric Nursing
Spesialis,Keperawatan Jiwa,Psychiatric Nursing
Spesialis,Keperawatan Komunitas,Community Nursing
Spesialis,Keperawatan Maternitas,Maternity Nursing
Spesialis,Keperawatan Medikal Bedah,Medical and Surgical Nursing
Spesialis,Keperawatan Kardiovaskuler,Cardiovascular Nursing
Spesialis,Keperawatan Onkologi,Oncology Nursing
Spesialis,Ilmu Kesehatan Anak,Pediatrics
Spesialis,"Ilmu Kesehatan Telinga Hidung Tenggorok, Bedah Kepala dan Leher",Otorhinolaryngology - Head and Neck Surgery
Spesialis,Konservasi Gigi,Endodontics
Spesialis,Mikrobiologi Klinik,Clinical Microbiology
Spesialis,Neurologi,Neurology
Spesialis,Obstetri dan Ginekologi,Obstetrics and Gynecology
Spesialis,Odontologi Forensik,Forensic Odontology
Spesialis,Onkologi Radiasi,Radiation Oncology
Spesialis,Ilmu Kesehatan Mata,Ophthalmology
Spesialis,Ortodontik,Orthodontics
Spesialis,Orthopaedi dan Traumatologi,Orthopaedic and Traumatology
Spesialis,Parasitologi Klinik,Clinical Parasitology
Spesialis,Patologi Anatomik,Anatomical Pathology
Spesialis,Patologi Klinik,Clinical Pathology
Spesialis,Patologi Mulut dan Maksilofasial,Oral Pathology and Maxillofacial
Spesialis,Penyakit Dalam,Internal Medicine
Spesialis,Penyakit Mulut,Oral Medicine
Spesialis,Periodontik,Periodontics
Spesialis,Prostodontik,Prosthodontics
Spesialis,Kedokteran Jiwa,Psychiatry
Spesialis,Pulmonologi dan Kedokteran Respirasi,Pulmonology and Respiratory Medicine
Spesialis,Radiologi Kedokteran Gigi,Dental Radiology
Spesialis,Radiologi Klinik,Clinical Radiology
Spesialis,Urologi,Urology
Spesialis,Pekerja Sosial Pelayanan Anak,Children Services Social Worker
Spesialis,Pekerja Sosial Pelayanan Disabilitas,Disabilities Services Social Worker
Spesialis,Pekerja Sosial Pelayanan Kebencanaan,Disaster Services Social Worker
Spesialis,Pekerja Sosial Pelayanan Kemiskinan,Poverty Services Social Worker
Spesialis,Pekerja Sosial Pelayanan Medis,Medical Services Social Worker
Spesialis,Pekerja Sosial Penanganan Narkoba,Narcotic-Abuse-Services Social Worker
